de: Anwälte sind der Untergang Amerikas, und aller zivilisierter Nationen.	
en: My wife will tell you I'm practically addicted to the History Channel … and I read a lot of history.	
en: Never ask what sort of computer a guy drives. If he's a Mac user, he'll tell you. If not, why embarrass him?	
en: No matter what you or anyone else does, there will be someone who says that there's something bad about it. Whenever somebody comes up with a good idea, there's somebody else who has never had a good idea in his life who stands up and says, "Oh, you can't do that..."
en: Nothing is as real as a dream. The world can change around you, but your dream will not. Your life may change, but your dream doesn't have to. Responsibilities need not erase it. Duties need not obscure it. Your spouse and children need not get in its way, because the dream is within you. No one can take your dream away.	
en: People live longer today than they ever have. They live happier lives, they have more knowledge, they have more information. All this is the result of communications technology and the tools with which man has equipped himself. How is any of that bad?	
en: People, I am actually fairly smart. Why has this not occurred to anyone? The information is all out there, if you go looking for it, and the classified stuff just comes from analyzing the unclassified stuff and connecting the dots...	
en: Rainbow Six" was sort of a spinoff of one my books, which did pretty well. … Interestingly enough, I never play the games. I just sort of — it's more fun for me to help formulate them than it is to play them.	
en: That's the ultimate pornography... There's nothing more pornographic than glorifying war.	
en: The People's Republic of China is still a Marxist, Leninist, Maoist nation. So, you know, communism is still involved there. They haven't figured their way out of that particularly ideological box yet and that's their misfortune.	
en: The Soviet Union is dead and gone and replaced by the Russian Federation, which is a country we can be friends with now, thank God — and we want the Russians to prosper, and should help the Russians prosper in every way we can within reason.	
en: The army led America in integration... The army recognized early on that, you know, black people are pretty much the same as white people; they just tend to be a little bit darker. They make just as good soldiers.	
en: The average guy is fairly smart, if you give him the ability to make decisions for himself. That's the whole premise of America, and that's why America has prospered, and it prospers because if the average guy can get information, he can make his own decisions.	
en: The average guy is smart enough to know the difference between what works and what doesn't, and if you have bad information, sooner or later, you figure it out and you get onto something else.	
en: The difference between me and you is that I do good fiction.	
en: The difference between reality and fiction? Fiction has to make sense.	
en: The drafters of the Constitution had made one simple but far-reaching error. They'd assumed that the people selected by The People to manage the nation would be as honest and honorable as they'd been. One could almost hear the "Oops!" emanating from all those old graves. The people who'd drafted the Constitution had sat in a room dominated by George Washington himself, and whatever honor they'd lacked he'd probably provided from his own abundant supply, just by sitting there and looking at them. The current Congress had no such mentor/living god to take George's place, and more was the pity, Ryan thought.	
en: The hard part is discriminating between factual reporting and journalistic fiction. Last year at the National Press Club I said out loud and in public that the difference between me and a lot of reporters is that I do good fiction. Some were polite enough to chuckle.	
en: The image superimposed on Ricci's field of view by his visor display showed a pair of guards in hooded parkas, goggles, and wool scarves taking relaxed strides along their patrol of the building's north side. Their shoulder-slung FN P90 assault weapons fired the same ammunition as his FN Five-seveN pistol: small rounds, big punch.	
en: The military has always been a very introspective organization... One of the reasons why the army is so progressive is its always examining itself. The army is always looking for better ways to do its job.	
en: The more information a guy has, the more likely he is to say, "Hey, King Charlie, you really blew that call." That's why democracy happened. The control of information is something the elite always does, particularly in a despotic form of government. Information, knowledge, is power. If you can control information, you can control people.	
en: The odds against becoming the next Frederick Forsythe are, of course, somewhere between merely exponential and astronomical-incredible. I’ll settle for a book-jacket with my name on it.	
en: The thing you have to understand about fighter pilots is they never quite grow past the stage of little boys buzzing past girls on their bicycles.	
en: There are people in government who don't want other people to know what they know. It's just another example of elitism. And I spit on elitism. Show me an elitist, and I'll show you a loser.	
en: There are things I know I know about I don't write about, which I could not responsibly put into my books. Interestingly enough, though, the scariest one of those things is not classified at all. But nevertheless, I don't write about it, because it would make the world a somewhat more dangerous place.	
en: There's been historical conflict between China and Russia for well over 1,000 years. … People forget that the Mongols came all the way to the Baltic Sea and all the way to where St. Petersburg is today … And the Russians have a good sense of history and they remember that.	
en: There's nothing that's ever happened in the world that didn't start in one human mind.	
en: There's two kinds of people in the world, the ones who need to be told and the ones who figure it out all by themselves.	
en: These are our kids... They're good kids... Joining the army or the Marine Corps does not make you into a crypto-alcoholic Nazi, it makes you into a child of America who is doing a job for his country... Those are our kids... They're our kids.	
en: Things rarely happen for a single reason. Even the cleverest and most skilled manipulators recognize that their real art lies in making use of that which they cannot predict.	
en: To truly feel like we're fighting terrorism, we need as much intelligence and infiltration as possible into known rivals of democracy. Once that information is collected, a sincere commitment must be made to thwart their effects through unified/joint military resolve.	
en: Victory comes only to those prepared to make it, and take it.	
en: What the government is good at is collecting taxes, taking away your freedoms and killing people. It's not good at much else.	
en: What underclass? I mean you know, what underclass? Do you know any of them? Do they have automobiles? Most of them probably do. Do most of them have television sets? Do most of them have telephones? Well, if they can afford automobiles, they can afford computers. And since they have television sets, they already have access to communications technology. And since they have telephones, they can talk to one another. Wherein are they deprived?	
en: When the first mission of Rainbow Six was actually coming together we really started to realize that we might have a hit on our hands, but hadn't really expected the runaway success.	
en: Our tools keep getting better, and as a result of that, our lives keep getting better.		
it: Molto spesso i soldati non sono come li vediamo sullo schermo. I migliori, quelli che arrivano al grado di generale, studiano con impegno ciò che riguarda la loro professione, commentano la storia da eruditi e osservano con intuito la psiche umana.	
it: Per pilotare un caccia F-16 bisogna avere la capacità di un virtuoso del pianoforte; anzi bisogna essere in grado di suonare due pianoforti contemporaneamente, poiché tutti i pulsanti che servono a per il combattimento sono sistemati sulla barra e sul pannello della manetta motore, e le armi possono essere usate senza dover abbassare lo sguardo.	
it: Un esercito è una vasta comunità di persone, più che l'insieme delle sue armi. Può sembrare grottesco che quella della guerra venga chiamata arte, ma combattere vuol dire, più di ogni altra cosa, saper condurre uomini e donne, e questa è la più difficile delle imprese umane, soprattutto quando sono in gioco la vita e la morte.	
it: Un pilota da caccia è un combattente, uno che si va a mettere nei guai da solo.	
